0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:38:47 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2653
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:41:23 +0530] "GET /Science/ScienceStaff.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:41:26 +0530] "GET /Science/ScienceStaff.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:41:37 +0530] "POST /Science/LoginControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:41:37 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2653
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:41:42 +0530] "GET /Science/StaffControl3 HTTP/1.1" 200 3507
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:41:54 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2653
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:42:02 +0530] "GET /Science/StaffControl1?id3=10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:42:02 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2653
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:42:12 +0530] "GET /Science/StaffControl3 HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:48:01 +0530] "GET /Science/StaffControl3 HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:48:58 +0530] "GET /Science/StaffControl3 HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:49:18 +0530] "GET /Science/StaffControl HTTP/1.1" 500 1445
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:49:20 +0530] "GET /Science/StaffControl HTTP/1.1" 500 1445
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:49:21 +0530] "GET /Science/StaffControl HTTP/1.1" 500 1445
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:49:21 +0530] "GET /Science/StaffControl HTTP/1.1" 500 1445
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:49:21 +0530] "GET /Science/StaffControl HTTP/1.1" 500 1445
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:49:22 +0530] "GET /Science/StaffControl HTTP/1.1" 500 1445
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:49:22 +0530] "GET /Science/StaffControl HTTP/1.1" 500 1445
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:49:22 +0530] "GET /Science/StaffControl HTTP/1.1" 500 1445
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:49:22 +0530] "GET /Science/StaffControl HTTP/1.1" 500 1445
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:49:23 +0530] "GET /Science/StaffControl HTTP/1.1" 500 1445
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:49:23 +0530] "GET /Science/StaffControl HTTP/1.1" 500 1445
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:49:33 +0530] "POST /Science/LoginControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:49:33 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2653
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:49:38 +0530] "GET /Science/StaffControl3 HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:49:41 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2653
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:50:35 +0530] "POST /Science/LoginControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:50:35 +0530] "GET /Science/ScienceInvalidEntry.html HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:51:17 +0530] "POST /Science/LoginControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:51:17 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2659
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:51:24 +0530] "GET /Science/StaffControl5?uh=15 HTTP/1.1" 200 2697
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:51:30 +0530] "GET /Science/StaffControl6?uh=15 HTTP/1.1" 200 3379
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:51:40 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2659
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:51:54 +0530] "GET /Science/StaffControl3 HTTP/1.1" 200 3163
